Air temperature [K],flow speed ,pressure [N],Target,DateTime
297.7,1838,27.3,0,2022-03-13 13:00:00
302.4,1392,50.5,0,2022-03-13 14:00:00
300.4,1284,61.9,1,2022-03-13 15:00:00
302.7,1348,51.2,1,2022-03-13 16:00:00
301.4,1359,58.2,1,2022-03-13 17:00:00
299.2,1586,35.7,0,2022-03-13 18:00:00
299.2,1588,41.5,0,2022-03-13 19:00:00
297.3,2358,14.9,0,2022-03-13 20:00:00
303.8,1819,23.7,0,2022-03-13 21:00:00
301.9,1289,54.9,0,2022-03-13 22:00:00
296.6,1368,45.1,0,2022-03-13 23:00:00
302.1,1362,54.5,1,2022-03-14 00:00:00
297.5,1319,68.0,1,2022-03-14 01:00:00
302.3,1379,49.1,1,2022-03-14 02:00:00
301.0,1472,35.3,0,2022-03-14 03:00:00
299.3,1480,45.1,0,2022-03-14 04:00:00
298.9,1409,65.9,1,2022-03-14 05:00:00
301.3,1432,54.4,0,2022-03-14 06:00:00
299.6,1530,38.8,0,2022-03-14 07:00:00
299.2,1320,67.6,1,2022-03-14 08:00:00
301.6,1613,42.5,0,2022-03-14 09:00:00
299.8,1436,61.4,1,2022-03-14 10:00:00
301.8,1279,57.5,1,2022-03-14 11:00:00
302.8,1361,45.4,1,2022-03-14 12:00:00
300.3,1551,37.9,0,2022-03-14 13:00:00
300.0,1265,68.7,1,2022-03-14 14:00:00
301.8,1619,31.0,0,2022-03-14 15:00:00
299.3,1482,37.6,0,2022-03-14 16:00:00
302.2,1375,53.3,1,2022-03-14 17:00:00
297.0,1436,47.7,0,2022-03-14 18:00:00
302.4,1306,56.3,1,2022-03-14 19:00:00
301.9,2676,10.8,1,2022-03-14 20:00:00
297.3,1538,48.0,0,2022-03-14 21:00:00
300.1,1462,42.8,0,2022-03-14 22:00:00
298.9,1546,43.4,0,2022-03-14 23:00:00
297.2,1513,42.9,0,2022-03-15 00:00:00
296.7,1516,37.4,0,2022-03-15 01:00:00
302.9,1335,68.1,1,2022-03-15 02:00:00
301.3,1339,55.8,1,2022-03-15 03:00:00
302.2,1987,19.9,0,2022-03-15 04:00:00
300.8,1312,65.8,1,2022-03-15 05:00:00
301.8,1418,51.3,0,2022-03-15 06:00:00
303.7,1332,52.7,1,2022-03-15 07:00:00
302.5,1351,51.0,1,2022-03-15 08:00:00
302.4,1465,40.2,0,2022-03-15 09:00:00
303.8,1406,47.1,0,2022-03-15 10:00:00
302.0,1260,65.6,1,2022-03-15 11:00:00
300.1,1526,38.5,1,2022-03-15 12:00:00
298.3,2636,12.8,0,2022-03-15 13:00:00
302.1,1355,45.0,1,2022-03-15 14:00:00
301.0,1681,27.4,0,2022-03-15 15:00:00
298.3,1432,46.9,0,2022-03-15 16:00:00
300.0,1927,24.6,0,2022-03-15 17:00:00
298.2,1709,28.1,0,2022-03-15 18:00:00
301.4,1414,52.4,1,2022-03-15 19:00:00
300.8,1748,29.9,0,2022-03-15 20:00:00
300.3,1386,48.1,0,2022-03-15 21:00:00
300.9,1711,28.8,0,2022-03-15 22:00:00
303.1,1594,35.5,0,2022-03-15 23:00:00
302.4,1345,62.4,1,2022-03-16 00:00:00
301.7,1331,61.2,1,2022-03-16 01:00:00
303.2,1310,52.6,1,2022-03-16 02:00:00
295.8,1621,31.6,0,2022-03-16 03:00:00
300.6,1471,41.4,0,2022-03-16 04:00:00
299.6,1304,67.9,1,2022-03-16 05:00:00
302.8,1516,39.5,0,2022-03-16 06:00:00
299.0,1326,61.3,1,2022-03-16 07:00:00
300.7,2113,18.5,0,2022-03-16 08:00:00
301.6,1270,67.9,1,2022-03-16 09:00:00
300.2,1690,29.2,1,2022-03-16 10:00:00
302.1,1368,56.2,1,2022-03-16 11:00:00
302.4,1346,62.4,1,2022-03-16 12:00:00
298.9,1655,31.5,0,2022-03-16 13:00:00
302.1,1708,30.3,1,2022-03-16 14:00:00
302.3,1375,53.1,1,2022-03-16 15:00:00
299.8,1398,56.3,1,2022-03-16 16:00:00
298.8,1953,20.6,0,2022-03-16 17:00:00
297.6,1416,45.9,0,2022-03-16 18:00:00
302.2,1346,49.2,1,2022-03-16 19:00:00
300.3,1522,38.2,1,2022-03-16 20:00:00
297.6,1442,48.1,0,2022-03-16 21:00:00
301.5,1612,29.8,0,2022-03-16 22:00:00
299.0,1325,44.8,1,2022-03-16 23:00:00
301.0,1533,39.3,0,2022-03-17 00:00:00
300.9,1465,42.9,0,2022-03-17 01:00:00
302.8,1350,45.3,1,2022-03-17 02:00:00
302.4,1475,40.4,0,2022-03-17 03:00:00
295.6,1396,52.4,0,2022-03-17 04:00:00
301.0,1462,55.6,1,2022-03-17 05:00:00
303.6,1505,35.6,1,2022-03-17 06:00:00
301.3,1449,41.0,1,2022-03-17 07:00:00
302.0,1419,47.5,1,2022-03-17 08:00:00
300.1,1530,36.6,0,2022-03-17 09:00:00
299.1,1415,43.4,0,2022-03-17 10:00:00
302.5,1363,53.8,1,2022-03-17 11:00:00
301.4,1414,38.8,0,2022-03-17 12:00:00
301.8,1334,52.3,0,2022-03-17 13:00:00
297.3,1492,43.6,0,2022-03-17 14:00:00
302.8,1305,54.8,1,2022-03-17 15:00:00
302.0,1307,57.6,1,2022-03-17 16:00:00
302.5,1334,53.0,1,2022-03-17 17:00:00
300.4,1552,28.8,0,2022-03-17 18:00:00
300.7,1398,46.0,1,2022-03-17 19:00:00
302.5,1436,43.5,0,2022-03-17 20:00:00
301.7,1434,47.9,0,2022-03-17 21:00:00
302.7,1262,68.0,1,2022-03-17 22:00:00
299.3,1447,50.4,0,2022-03-17 23:00:00
299.6,1393,47.7,0,2022-03-18 00:00:00
299.3,1550,45.8,0,2022-03-18 01:00:00
300.9,1288,69.8,1,2022-03-18 02:00:00
297.7,1368,50.7,1,2022-03-18 03:00:00
300.2,1202,61.7,0,2022-03-18 04:00:00
297.1,1583,31.9,0,2022-03-18 05:00:00
299.1,1449,43.2,0,2022-03-18 06:00:00
300.3,1304,62.8,0,2022-03-18 07:00:00
303.1,1224,66.3,1,2022-03-18 08:00:00
299.1,1649,31.6,0,2022-03-18 09:00:00
302.0,1980,21.5,0,2022-03-18 10:00:00
302.3,1510,38.7,0,2022-03-18 11:00:00
301.5,1424,47.0,0,2022-03-18 12:00:00
300.0,1403,61.3,1,2022-03-18 13:00:00
298.4,2883,3.9,1,2022-03-18 14:00:00
298.9,2099,20.0,0,2022-03-18 15:00:00
299.1,1373,55.1,1,2022-03-18 16:00:00
299.1,1543,37.9,0,2022-03-18 17:00:00
297.6,2865,4.5,1,2022-03-18 18:00:00
298.8,1425,47.4,0,2022-03-18 19:00:00
302.5,1551,37.3,0,2022-03-18 20:00:00
300.6,1480,43.7,0,2022-03-18 21:00:00
302.3,1359,44.0,1,2022-03-18 22:00:00
299.9,2396,14.5,1,2022-03-18 23:00:00
298.4,1257,69.6,1,2022-03-19 00:00:00
300.4,1374,47.8,1,2022-03-19 01:00:00
298.4,1360,59.7,1,2022-03-19 02:00:00
303.8,1748,25.1,0,2022-03-19 03:00:00
300.1,1353,52.4,1,2022-03-19 04:00:00
303.6,1251,57.6,1,2022-03-19 05:00:00
302.6,1307,54.0,1,2022-03-19 06:00:00
302.6,1361,46.0,1,2022-03-19 07:00:00
301.7,1471,43.8,0,2022-03-19 08:00:00
302.3,1347,61.9,1,2022-03-19 09:00:00
299.2,1492,37.8,0,2022-03-19 10:00:00
302.5,1374,48.3,1,2022-03-19 11:00:00
302.4,1543,31.1,0,2022-03-19 12:00:00
299.1,1352,49.7,1,2022-03-19 13:00:00
302.3,1348,47.4,1,2022-03-19 14:00:00
299.7,1320,67.4,1,2022-03-19 15:00:00
301.3,2093,18.7,0,2022-03-19 16:00:00
298.0,1404,56.2,1,2022-03-19 17:00:00
301.7,1444,42.0,1,2022-03-19 18:00:00
298.8,1529,44.0,0,2022-03-19 19:00:00
299.8,1420,46.7,0,2022-03-19 20:00:00
300.8,1858,26.3,0,2022-03-19 21:00:00
297.2,1326,75.4,1,2022-03-19 22:00:00
298.8,1611,32.4,0,2022-03-19 23:00:00
302.7,1411,53.2,1,2022-03-20 00:00:00
302.1,1364,47.9,1,2022-03-20 01:00:00
297.4,1469,42.6,0,2022-03-20 02:00:00
301.8,1278,57.6,1,2022-03-20 03:00:00
300.1,1475,54.2,0,2022-03-20 04:00:00
300.3,1345,61.3,1,2022-03-20 05:00:00
297.9,1337,57.8,1,2022-03-20 06:00:00
303.5,1364,51.3,1,2022-03-20 07:00:00
299.8,1398,42.6,1,2022-03-20 08:00:00
297.3,1384,49.1,0,2022-03-20 09:00:00
302.2,1355,51.8,1,2022-03-20 10:00:00
301.0,1257,71.4,1,2022-03-20 11:00:00
300.5,1502,34.3,0,2022-03-20 12:00:00
301.5,1264,68.2,1,2022-03-20 13:00:00
302.2,1320,52.0,1,2022-03-20 14:00:00
300.3,1418,45.9,0,2022-03-20 15:00:00
298.3,1585,30.6,0,2022-03-20 16:00:00
302.3,1332,66.7,1,2022-03-20 17:00:00
299.3,1367,56.3,1,2022-03-20 18:00:00
300.2,1405,60.2,1,2022-03-20 19:00:00
299.4,1376,53.9,1,2022-03-20 20:00:00
304.1,1434,50.1,0,2022-03-20 21:00:00
302.4,1363,47.5,1,2022-03-20 22:00:00
303.2,1371,54.4,1,2022-03-20 23:00:00
301.8,2820,6.0,1,2022-03-21 00:00:00
299.4,1267,68.0,1,2022-03-21 01:00:00
298.1,1556,31.6,0,2022-03-21 02:00:00
302.6,1312,52.4,1,2022-03-21 03:00:00
301.8,2521,13.0,1,2022-03-21 04:00:00
301.0,2755,8.1,1,2022-03-21 05:00:00
301.7,1700,28.7,0,2022-03-21 06:00:00
297.9,1505,40.1,0,2022-03-21 07:00:00
302.7,1370,55.1,1,2022-03-21 08:00:00
298.2,1398,58.7,1,2022-03-21 09:00:00
298.5,1552,36.8,0,2022-03-21 10:00:00
302.7,1370,55.2,1,2022-03-21 11:00:00
300.4,1554,33.4,1,2022-03-21 12:00:00
300.6,1282,60.2,0,2022-03-21 13:00:00
299.7,1317,54.4,1,2022-03-21 14:00:00
301.7,1355,57.8,1,2022-03-21 15:00:00
298.6,1429,49.4,1,2022-03-21 16:00:00
300.0,1703,30.4,0,2022-03-21 17:00:00
300.2,1972,20.9,1,2022-03-21 18:00:00
298.8,1631,32.4,0,2022-03-21 19:00:00
302.4,1333,66.9,1,2022-03-21 20:00:00
301.3,1368,57.2,1,2022-03-21 21:00:00
299.4,1419,56.1,1,2022-03-21 22:00:00
298.7,1353,53.1,1,2022-03-21 23:00:00
298.9,1413,46.5,0,2022-03-22 00:00:00
297.9,1519,44.0,0,2022-03-22 01:00:00
299.3,1443,45.7,0,2022-03-22 02:00:00
297.3,1521,38.2,0,2022-03-22 03:00:00
303.1,1453,49.1,0,2022-03-22 04:00:00
302.2,1311,64.4,1,2022-03-22 05:00:00
302.5,1360,44.8,1,2022-03-22 06:00:00
301.4,1337,68.5,1,2022-03-22 07:00:00
303.0,1335,53.6,1,2022-03-22 08:00:00
302.9,1349,47.2,1,2022-03-22 09:00:00
303.0,1338,51.8,1,2022-03-22 10:00:00
300.9,1471,39.3,0,2022-03-22 11:00:00
302.1,1354,45.1,1,2022-03-22 12:00:00
301.9,1650,29.8,0,2022-03-22 13:00:00
302.1,1307,56.8,1,2022-03-22 14:00:00
300.9,1341,62.8,1,2022-03-22 15:00:00
297.8,1429,40.1,1,2022-03-22 16:00:00
296.7,1385,61.5,1,2022-03-22 17:00:00
302.6,1349,53.2,1,2022-03-22 18:00:00
297.6,1419,41.7,0,2022-03-22 19:00:00
300.5,2141,17.2,0,2022-03-22 20:00:00
300.7,1677,30.5,1,2022-03-22 21:00:00
303.6,1617,30.9,0,2022-03-22 22:00:00
302.1,1605,37.6,0,2022-03-22 23:00:00
302.1,1916,23.1,0,2022-03-23 00:00:00
300.1,1676,30.0,1,2022-03-23 01:00:00
299.0,1419,45.2,0,2022-03-23 02:00:00
302.6,1610,39.2,0,2022-03-23 03:00:00
298.7,1354,53.3,1,2022-03-23 04:00:00
302.3,1720,28.1,0,2022-03-23 05:00:00
301.9,1401,59.4,1,2022-03-23 06:00:00
302.9,1328,59.9,0,2022-03-23 07:00:00
301.8,1451,53.4,1,2022-03-23 08:00:00
299.8,1739,27.5,0,2022-03-23 09:00:00
301.5,1378,54.3,1,2022-03-23 10:00:00
302.3,1278,56.4,1,2022-03-23 11:00:00
302.1,1404,61.4,1,2022-03-23 12:00:00
299.3,1531,37.9,0,2022-03-23 13:00:00
300.9,1561,32.7,0,2022-03-23 14:00:00
302.0,1266,63.0,1,2022-03-23 15:00:00
301.3,1310,65.6,1,2022-03-23 16:00:00
300.4,1536,34.5,0,2022-03-23 17:00:00
298.4,1342,61.0,1,2022-03-23 18:00:00
302.7,1611,34.1,0,2022-03-23 19:00:00
300.8,1493,39.1,0,2022-03-23 20:00:00
302.1,1368,51.6,1,2022-03-23 21:00:00
299.1,2153,17.5,1,2022-03-23 22:00:00
299.4,1436,47.9,0,2022-03-23 23:00:00
296.4,2270,15.0,1,2022-03-24 00:00:00
299.5,1608,33.4,1,2022-03-24 01:00:00
300.9,1382,51.2,0,2022-03-24 02:00:00
301.6,1924,23.6,0,2022-03-24 03:00:00
299.3,1563,42.1,0,2022-03-24 04:00:00
300.7,1336,58.6,1,2022-03-24 05:00:00
301.8,1442,45.7,1,2022-03-24 06:00:00
297.0,1316,61.3,1,2022-03-24 07:00:00
302.1,1361,45.5,1,2022-03-24 08:00:00
300.8,1669,28.4,0,2022-03-24 09:00:00
299.6,1572,33.4,0,2022-03-24 10:00:00
300.9,1335,57.1,1,2022-03-24 11:00:00
300.6,1481,40.9,0,2022-03-24 12:00:00
302.7,1331,52.1,1,2022-03-24 13:00:00
302.2,1708,30.4,1,2022-03-24 14:00:00
300.6,1528,43.9,0,2022-03-24 15:00:00
301.9,1352,59.1,1,2022-03-24 16:00:00
302.6,1438,51.0,0,2022-03-24 17:00:00
298.1,1400,56.4,1,2022-03-24 18:00:00
300.6,1322,66.9,1,2022-03-24 19:00:00
300.3,1480,46.6,0,2022-03-24 20:00:00
301.6,1296,62.3,1,2022-03-24 21:00:00
300.6,1653,30.0,1,2022-03-24 22:00:00
302.1,1379,48.7,1,2022-03-24 23:00:00
300.5,1560,34.7,1,2022-03-25 00:00:00
297.7,1573,35.1,0,2022-03-25 01:00:00
299.8,1299,66.0,1,2022-03-25 02:00:00
303.5,1532,41.7,0,2022-03-25 03:00:00
302.2,1663,29.6,0,2022-03-25 04:00:00
300.2,1550,33.9,1,2022-03-25 05:00:00
296.9,1685,32.0,0,2022-03-25 06:00:00
300.5,1466,59.0,1,2022-03-25 07:00:00
300.1,1365,49.6,1,2022-03-25 08:00:00
298.2,1599,36.2,0,2022-03-25 09:00:00
303.1,1657,31.8,0,2022-03-25 10:00:00
297.8,1372,55.7,1,2022-03-25 11:00:00
301.4,1512,43.1,1,2022-03-25 12:00:00
298.9,1316,55.5,1,2022-03-25 13:00:00
300.4,1472,37.3,0,2022-03-25 14:00:00
299.6,1358,66.8,1,2022-03-25 15:00:00
298.6,1422,49.7,0,2022-03-25 16:00:00
299.4,2730,9.0,1,2022-03-25 17:00:00
300.5,1362,56.1,1,2022-03-25 18:00:00
299.0,2872,4.2,1,2022-03-25 19:00:00
300.5,2751,8.3,1,2022-03-25 20:00:00
303.1,1357,57.1,1,2022-03-25 21:00:00
300.7,1335,57.2,1,2022-03-25 22:00:00
303.0,1486,46.2,1,2022-03-25 23:00:00
302.4,1358,54.9,1,2022-03-26 00:00:00
300.1,1430,40.9,0,2022-03-26 01:00:00
301.8,1529,41.6,0,2022-03-26 02:00:00
301.4,1285,62.5,1,2022-03-26 03:00:00
298.4,1450,47.9,0,2022-03-26 04:00:00
297.7,1288,49.5,0,2022-03-26 05:00:00
303.2,2102,19.0,0,2022-03-26 06:00:00
299.5,2589,12.5,1,2022-03-26 07:00:00
298.7,1420,60.8,1,2022-03-26 08:00:00
299.6,2625,12.1,1,2022-03-26 09:00:00
299.5,1462,46.7,0,2022-03-26 10:00:00
303.8,1514,45.0,0,2022-03-26 11:00:00
300.7,1486,46.8,0,2022-03-26 12:00:00
298.7,1284,61.4,1,2022-03-26 13:00:00
296.9,1544,40.3,0,2022-03-26 14:00:00
302.4,1272,59.2,1,2022-03-26 15:00:00
302.0,1518,37.4,1,2022-03-26 16:00:00
303.0,1800,23.7,0,2022-03-26 17:00:00
303.4,1358,56.4,1,2022-03-26 18:00:00
300.4,1802,26.0,0,2022-03-26 19:00:00
297.9,1426,43.6,0,2022-03-26 20:00:00
298.4,1360,60.2,1,2022-03-26 21:00:00
297.1,1980,20.3,0,2022-03-26 22:00:00
299.3,1495,39.2,0,2022-03-26 23:00:00
300.6,1312,45.2,0,2022-03-27 00:00:00
303.2,1439,43.9,0,2022-03-27 01:00:00
303.3,1601,35.2,0,2022-03-27 02:00:00
300.7,1369,51.2,0,2022-03-27 03:00:00
300.4,1335,58.3,0,2022-03-27 04:00:00
300.8,1226,65.7,1,2022-03-27 05:00:00
298.3,1646,30.2,0,2022-03-27 06:00:00
296.4,1512,36.8,0,2022-03-27 07:00:00
300.2,1268,67.2,1,2022-03-27 08:00:00
298.3,1507,41.2,0,2022-03-27 09:00:00
302.4,1452,56.2,1,2022-03-27 10:00:00
299.3,1505,38.8,0,2022-03-27 11:00:00
300.2,2574,12.6,1,2022-03-27 12:00:00
303.4,1336,69.3,1,2022-03-27 13:00:00
302.5,1369,60.0,1,2022-03-27 14:00:00
299.3,1474,49.6,0,2022-03-27 15:00:00
302.4,1349,45.9,1,2022-03-27 16:00:00
299.1,1727,28.7,0,2022-03-27 17:00:00
297.5,1372,56.6,1,2022-03-27 18:00:00
301.9,1379,54.8,0,2022-03-27 19:00:00
302.8,1372,46.5,1,2022-03-27 20:00:00
302.5,1227,68.1,1,2022-03-27 21:00:00
303.2,1358,57.2,1,2022-03-27 22:00:00
296.6,1372,55.6,1,2022-03-27 23:00:00
301.0,2047,17.9,0,2022-03-28 00:00:00
303.6,1363,51.6,1,2022-03-28 01:00:00
302.6,1450,53.1,1,2022-03-28 02:00:00
297.0,1238,75.5,1,2022-03-28 03:00:00
302.0,1354,58.8,1,2022-03-28 04:00:00
296.5,1340,59.1,0,2022-03-28 05:00:00
300.8,1235,64.5,1,2022-03-28 06:00:00
302.2,2684,11.6,1,2022-03-28 07:00:00
301.3,1372,54.2,0,2022-03-28 08:00:00
302.3,1355,55.9,1,2022-03-28 09:00:00
301.9,1708,24.8,0,2022-03-28 10:00:00
300.7,1379,60.8,1,2022-03-28 11:00:00
302.6,1363,47.3,1,2022-03-28 12:00:00
302.2,1510,37.1,0,2022-03-28 13:00:00
302.2,1261,70.3,1,2022-03-28 14:00:00
298.1,1495,48.1,0,2022-03-28 15:00:00
297.3,1438,46.2,0,2022-03-28 16:00:00
299.3,1418,62.9,1,2022-03-28 17:00:00
301.8,1442,45.3,1,2022-03-28 18:00:00
300.4,1268,68.3,1,2022-03-28 19:00:00
302.1,1497,38.4,0,2022-03-28 20:00:00
300.7,1724,30.0,0,2022-03-28 21:00:00
300.1,1369,51.3,1,2022-03-28 22:00:00
300.5,1265,68.6,1,2022-03-28 23:00:00
302.7,1284,68.3,1,2022-03-29 00:00:00
303.9,1421,47.8,1,2022-03-29 01:00:00
298.2,1478,58.2,1,2022-03-29 02:00:00
302.4,1335,57.8,1,2022-03-29 03:00:00
299.3,1648,28.4,0,2022-03-29 04:00:00
304.1,1611,31.4,0,2022-03-29 05:00:00
302.0,1339,66.2,1,2022-03-29 06:00:00
299.2,1483,39.2,1,2022-03-29 07:00:00
297.4,1372,56.5,1,2022-03-29 08:00:00
297.4,1437,40.4,0,2022-03-29 09:00:00
299.5,1867,23.5,1,2022-03-29 10:00:00
302.4,1439,36.6,0,2022-03-29 11:00:00
302.3,1376,46.7,1,2022-03-29 12:00:00
299.4,1375,64.2,1,2022-03-29 13:00:00
297.9,1545,35.9,0,2022-03-29 14:00:00
298.6,1668,32.3,0,2022-03-29 15:00:00
303.9,1540,44.4,0,2022-03-29 16:00:00
303.5,1515,39.2,0,2022-03-29 17:00:00
298.3,1417,60.5,0,2022-03-29 18:00:00
301.2,2637,12.1,1,2022-03-29 19:00:00
301.7,1317,49.0,1,2022-03-29 20:00:00
302.0,1372,47.9,1,2022-03-29 21:00:00
302.0,1701,27.2,0,2022-03-29 22:00:00
300.4,1495,51.2,0,2022-03-29 23:00:00
302.5,1286,68.9,1,2022-03-30 00:00:00
302.3,1570,37.2,0,2022-03-30 01:00:00
302.5,1306,59.7,0,2022-03-30 02:00:00
297.3,1469,44.1,0,2022-03-30 03:00:00
299.4,1607,33.7,0,2022-03-30 04:00:00
300.7,1498,44.0,0,2022-03-30 05:00:00
302.8,1364,55.6,1,2022-03-30 06:00:00
302.1,1376,46.5,1,2022-03-30 07:00:00
301.1,1455,56.2,1,2022-03-30 08:00:00
303.7,1331,52.7,1,2022-03-30 09:00:00
302.2,1394,53.7,0,2022-03-30 10:00:00
302.0,1337,57.3,1,2022-03-30 11:00:00
302.2,1368,51.6,1,2022-03-30 12:00:00
302.6,1305,54.9,1,2022-03-30 13:00:00
303.1,1362,47.1,1,2022-03-30 14:00:00
302.2,1361,45.9,1,2022-03-30 15:00:00
303.6,1222,66.8,1,2022-03-30 16:00:00
299.0,2675,10.8,1,2022-03-30 17:00:00
301.3,1362,60.9,1,2022-03-30 18:00:00
302.4,1366,48.5,1,2022-03-30 19:00:00
300.7,2011,19.7,1,2022-03-30 20:00:00
301.2,1204,58.1,1,2022-03-30 21:00:00
301.1,1630,29.5,0,2022-03-30 22:00:00
299.7,2539,13.1,1,2022-03-30 23:00:00
299.4,1512,43.2,0,2022-03-31 00:00:00
299.0,2716,9.5,1,2022-03-31 01:00:00
303.9,1422,48.0,1,2022-03-31 02:00:00
298.2,1833,26.0,1,2022-03-31 03:00:00
298.1,1691,30.3,0,2022-03-31 04:00:00
300.3,1343,57.7,0,2022-03-31 05:00:00
302.5,1365,66.6,1,2022-03-31 06:00:00
298.7,1593,42.5,0,2022-03-31 07:00:00
302.2,1625,35.4,0,2022-03-31 08:00:00
300.1,1676,29.9,1,2022-03-31 09:00:00
301.9,1356,57.9,1,2022-03-31 10:00:00
302.6,1334,52.9,1,2022-03-31 11:00:00
301.6,1367,64.2,1,2022-03-31 12:00:00
302.4,1360,44.7,1,2022-03-31 13:00:00
303.7,1532,41.3,0,2022-03-31 14:00:00
297.8,1341,61.1,1,2022-03-31 15:00:00
302.7,1263,67.8,1,2022-03-31 16:00:00
300.3,1398,53.7,0,2022-03-31 17:00:00
297.5,1320,69.6,1,2022-03-31 18:00:00
302.4,1623,32.3,1,2022-03-31 19:00:00
300.8,1520,38.0,0,2022-03-31 20:00:00
300.4,2630,12.2,1,2022-03-31 21:00:00
302.2,1327,45.3,1,2022-03-31 22:00:00
299.1,1345,60.5,1,2022-03-31 23:00:00
303.1,1306,54.4,1,2022-04-01 00:00:00
299.5,1269,68.3,1,2022-04-01 01:00:00
298.6,1428,38.5,1,2022-04-01 02:00:00
299.3,1187,69.4,1,2022-04-01 03:00:00
298.0,1911,22.0,0,2022-04-01 04:00:00
298.7,1506,50.7,0,2022-04-01 05:00:00
302.6,1351,42.4,1,2022-04-01 06:00:00
302.6,1885,27.5,0,2022-04-01 07:00:00
302.4,1348,46.3,1,2022-04-01 08:00:00
298.8,1493,38.5,0,2022-04-01 09:00:00
297.1,2840,5.3,1,2022-04-01 10:00:00
302.3,1375,52.6,1,2022-04-01 11:00:00
297.5,1722,30.4,0,2022-04-01 12:00:00
303.0,1352,44.5,1,2022-04-01 13:00:00
302.6,1452,53.6,1,2022-04-01 14:00:00
297.9,1691,29.6,0,2022-04-01 15:00:00
300.2,1675,29.9,1,2022-04-01 16:00:00
297.9,1393,40.6,0,2022-04-01 17:00:00
303.0,1353,44.4,1,2022-04-01 18:00:00
301.9,1298,65.3,1,2022-04-01 19:00:00
298.4,1409,43.1,0,2022-04-01 20:00:00
298.2,1952,21.6,0,2022-04-01 21:00:00
302.5,1329,47.2,1,2022-04-01 22:00:00
297.7,1502,47.6,1,2022-04-01 23:00:00
299.7,1411,52.8,1,2022-04-02 00:00:00
301.4,1399,50.9,1,2022-04-02 01:00:00
302.5,1410,54.0,1,2022-04-02 02:00:00
299.9,2065,18.1,0,2022-04-02 03:00:00
299.6,1308,61.0,1,2022-04-02 04:00:00
303.8,1815,27.8,0,2022-04-02 05:00:00
300.1,1402,46.6,0,2022-04-02 06:00:00
302.1,1389,49.6,0,2022-04-02 07:00:00
300.8,1825,23.8,0,2022-04-02 08:00:00
302.2,1436,47.0,0,2022-04-02 09:00:00
297.5,1747,31.0,0,2022-04-02 10:00:00
302.0,1282,68.9,1,2022-04-02 11:00:00
300.1,1617,39.3,0,2022-04-02 12:00:00
298.6,1384,54.5,1,2022-04-02 13:00:00
299.0,2735,8.8,1,2022-04-02 14:00:00
302.7,1364,55.4,1,2022-04-02 15:00:00
297.5,1824,24.0,0,2022-04-02 16:00:00
302.2,1361,45.9,1,2022-04-02 17:00:00
298.0,1403,47.7,0,2022-04-02 18:00:00
302.0,1383,50.3,1,2022-04-02 19:00:00
300.7,1536,37.4,1,2022-04-02 20:00:00
298.9,1632,32.5,0,2022-04-02 21:00:00
298.6,1509,49.2,1,2022-04-02 22:00:00
300.3,1360,48.0,0,2022-04-02 23:00:00
302.0,1455,43.2,0,2022-04-03 00:00:00
300.3,1321,67.3,1,2022-04-03 01:00:00
302.6,1285,68.2,1,2022-04-03 02:00:00
301.7,1659,29.9,0,2022-04-03 03:00:00
300.3,1709,29.5,0,2022-04-03 04:00:00
301.8,2825,5.8,1,2022-04-03 05:00:00
301.2,1392,52.6,0,2022-04-03 06:00:00
300.7,1445,46.4,0,2022-04-03 07:00:00
303.4,1370,54.8,1,2022-04-03 08:00:00
299.4,1440,42.5,0,2022-04-03 09:00:00
302.2,1361,56.1,1,2022-04-03 10:00:00
303.4,1365,54.4,1,2022-04-03 11:00:00
302.6,1307,56.1,1,2022-04-03 12:00:00
301.7,1627,31.3,0,2022-04-03 13:00:00
300.2,1380,54.0,1,2022-04-03 14:00:00
299.1,1441,36.2,0,2022-04-03 15:00:00
300.1,1433,51.4,0,2022-04-03 16:00:00
300.9,1603,31.8,0,2022-04-03 17:00:00
302.1,1322,51.4,1,2022-04-03 18:00:00
302.8,1262,70.5,1,2022-04-03 19:00:00
297.5,2873,4.2,1,2022-04-03 20:00:00
302.4,1374,52.4,1,2022-04-03 21:00:00
302.4,1426,46.8,0,2022-04-03 22:00:00
297.7,1396,52.4,1,2022-04-03 23:00:00
299.7,2831,5.6,1,2022-04-04 00:00:00
301.6,1399,54.0,1,2022-04-04 01:00:00
298.0,1459,44.4,0,2022-04-04 02:00:00
302.1,1454,59.2,1,2022-04-04 03:00:00
299.9,1553,40.0,0,2022-04-04 04:00:00
299.5,1378,63.6,1,2022-04-04 05:00:00
299.1,1371,55.5,0,2022-04-04 06:00:00
304.0,1509,36.2,1,2022-04-04 07:00:00
301.1,1384,42.5,0,2022-04-04 08:00:00
297.7,1365,58.6,0,2022-04-04 09:00:00
302.1,1378,53.3,1,2022-04-04 10:00:00
296.8,1843,24.2,0,2022-04-04 11:00:00
299.4,1485,47.1,0,2022-04-04 12:00:00
298.7,2858,4.7,1,2022-04-04 13:00:00
298.6,1450,44.3,0,2022-04-04 14:00:00
298.9,1402,49.8,0,2022-04-04 15:00:00
302.2,1364,48.0,1,2022-04-04 16:00:00
300.7,1446,45.4,0,2022-04-04 17:00:00
298.7,1754,26.2,1,2022-04-04 18:00:00
303.3,1341,48.1,1,2022-04-04 19:00:00
299.8,1325,60.7,1,2022-04-04 20:00:00
300.7,1486,35.8,0,2022-04-04 21:00:00
